,category,market,code,name,desc
12390,3,28,APL8,苹果主连,APL8
12399,3,28,CFL8,郑棉主连,CFL8
12408,3,28,CJL8,红枣主连,CJL8
12423,3,28,CYL8,棉纱主连,CYL8
12438,3,28,FGL8,玻璃主连,FGL8
12447,3,28,JRL8,粳稻主连,JRL8
12469,3,28,MAL8,甲醇主连,MAL8
12478,3,28,OIL8,菜油主连,OIL8
12489,3,28,PFL8,短纤主连,PFL8
12498,3,28,PML8,普麦主连,PML8
12507,3,28,RIL8,早稻主连,RIL8
12517,3,28,RML8,菜粕主连,RML8
12523,3,28,RSL8,菜籽主连,RSL8
12538,3,28,SAL8,纯碱主连,SAL8
12553,3,28,SFL8,硅铁主连,SFL8
12568,3,28,SML8,锰硅主连,SML8
12577,3,28,SRL8,白糖主连,SRL8
12592,3,28,TAL8,PTA主连,TAL8
12607,3,28,URL8,尿素主连,URL8
12616,3,28,WHL8,强麦主连,WHL8
12630,3,28,ZCL8,动煤主连,ZCL8
12639,3,29,AL8,豆一主连,AL8
12667,3,29,BBL8,胶板主连,BBL8
12669,3,29,BL8,豆二主连,BL8
12678,3,29,CL8,玉米主连,CL8
12687,3,29,CSL8,淀粉主连,CSL8
12701,3,29,EBL8,苯乙烯主连,EBL8
12715,3,29,EGL8,乙二醇主连,EGL8
12730,3,29,FBL8,纤板主连,FBL8
12745,3,29,IL8,铁矿主连,IL8
12772,3,29,JDL8,鸡蛋主连,JDL8
12774,3,29,JL8,焦炭主连,JL8
12789,3,29,JML8,焦煤主连,JML8
12807,3,29,LHL8,生猪主连,LHL8
12809,3,29,LL8,乙烯主连,LL8
12820,3,29,ML8,豆粕主连,ML8
12847,3,29,PGL8,液化气主连,PGL8
12849,3,29,PL8,棕榈主连,PL8
12864,3,29,PPL8,丙烯主连,PPL8
12879,3,29,RRL8,粳米主连,RRL8
12894,3,29,VL8,PVC主连,VL8
12905,3,29,YL8,豆油主连,YL8
12920,3,30,AGL8,白银主连,AGL8
12935,3,30,ALL8,沪铝主连,ALL8
12946,3,30,AUL8,黄金主连,AUL8
12959,3,30,BCL8,国际铜主连,BCL8
12974,3,30,BUL8,沥青主连,BUL8
12989,3,30,CUL8,沪铜主连,CUL8
13003,3,30,FUL8,燃油主连,FUL8
13018,3,30,HCL8,热卷主连,HCL8
13032,3,30,LUL8,低硫油主连,LUL8
13047,3,30,NIL8,沪镍主连,NIL8
13062,3,30,NRL8,20号胶主连,NRL8
13077,3,30,PBL8,沪铅主连,PBL8
13092,3,30,RBL8,螺纹主连,RBL8
13105,3,30,RUL8,橡胶主连,RUL8
13127,3,30,SCL8,原油主连,SCL8
13142,3,30,SNL8,沪锡主连,SNL8
13157,3,30,SPL8,纸浆主连,SPL8
13172,3,30,SSL8,不锈钢主连,SSL8
13187,3,30,WRL8,线材主连,WRL8
13202,3,30,ZNL8,沪锌主连,ZNL8
